"Peak id","Mass","RT","P8.mzXML","P9.mzXML","P10.mzXML","P1.mzXML","P2.mzXML","P3.mzXML","P4.mzXML","P5.mzXML","P6.mzXML","P7.mzXML","B6.mzXML","B7.mzXML","B8.mzXML","B9.mzXML","B10.mzXML","B1.mzXML","B2.mzXML","B3.mzXML","B4.mzXML","B5.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","InChI Key"
"25","244.1294","658.63","216530.52","184060.39","172604.02","139985","135184.23","166740.11","151895.28","165709.61","156991.06","144955.81","189571.36","216790.34","222383.23","192772.61","166966.13","148742.38","227146.19","169029.59","170290.52","143377.44","positive","No Fragments","Alanyl-Hydroxyproline,Coprine,Gamma-glutamyl-Proline,Glutaminyl-Proline,Hydroxyprolyl-Alanine,L-Coprine,Proclavaminic acid,Prolyl-Gamma-glutamate,Prolyl-Glutamine,Prolyl-Serine,Serinyl-Proline","AFWBWPCXSWUCLB-UHFFFAOYSA-N,FSGFZJVYAZKWHO-UHFFFAOYSA-N,KYHSUPXEBSYFGK-UHFFFAOYSA-N,NJMYZEJORPYOTO-UHFFFAOYSA-N,NMCINKPVAOXDJH-VDTYLAMSSA-N,OEEZRBUCLFMTLD-UHFFFAOYSA-N,OEEZRBUCLFMTLD-YFKPBYRVSA-N,PHMGRHJWVYZMPA-UHFFFAOYSA-N,SHAQGFGGJSLLHE-UHFFFAOYSA-N,WBAXJMCUFIXCNI-UHFFFAOYSA-N"
"26","156.0421","651.48","25228.88","30191.24","49799.52","44167.21","66200.38","46756.29","47074.25","62394.55","48621.57","71690.7","53440.64","NA","46488.63","73530.28","46705.93","44357.18","42757.64","30659.56","58560.75","66994","positive","No Fragments","(S)-Mandelonitrile,(±)-2-Hydroxy-2-phenylacetonitrile,2-Amino-2-methylbutanoate,2-Amino-3-methylbutanoic acid,2-Methyl-4,5-benzoxazole,2S-amino-pentanoic acid,4-Hydroxybenzeneacetonitrile,4-Hydroxyphenylacetonitrile,4-Methylaminobutyrate,4-amino-pentanoic acid,4R-aminopentanoic acid,4S-aminopentanoic acid,5-Aminopentanoate,5-Aminopentanoic acid,5-Hydroxyindole,5-amino-pentanoic acid,Amyl Nitrite,Amyl nitrite,Betaine,D-1-Aminopropan-2-ol O-phosphate,D-Norvaline,D-Valine,Hydroxyindole,Indolin-2-one,Indoxyl,L-1-Aminopropan-2-ol O-phosphate,L-Norvaline,L-Valine,Mandelonitrile,N-Methyl-a-aminoisobutyric acid,N-Methylethanolamine phosphate,N-Methylethanolaminium phosphate,Norvaline,Valine,Vaporole","ABSTXSZPGHDTAF-BYPYZUCNSA-N,ABSTXSZPGHDTAF-SCSAIBSYSA-N,ABSTXSZPGHDTAF-UHFFFAOYSA-N,AOKCDAVWJLOAHG-UHFFFAOYSA-N,AYKYOOPFBCOXSL-UHFFFAOYSA-N,CSDTZUBPSYWZDX-UHFFFAOYSA-N,DLAMVQGYEVKIRE-UHFFFAOYSA-N,DQSHFKPKFISSNM-UHFFFAOYSA-N,GCHPUFAZSONQIV-UHFFFAOYSA-N,HZDCAHRLLXEQFY-UHFFFAOYSA-N,JJMDCOVWQOJGCB-UHFFFAOYSA-N,JYGFTBXVXVMTGB-UHFFFAOYSA-N,KWIUHFFTVRNATP-UHFFFAOYSA-N,KZSNJWFQEVHDMF-BYPYZUCNSA-N,KZSNJWFQEVHDMF-SCSAIBSYSA-N,KZSNJWFQEVHDMF-UHFFFAOYSA-N,LMIQERWZRIFWNZ-UHFFFAOYSA-N,NLMQHXUGJIAKTH-UHFFFAOYSA-N,NNICRUQPODTGRU-MRVPVSSYSA-N,NNICRUQPODTGRU-QMMMGPOBSA-N,NNICRUQPODTGRU-SVGMAFHSNA-N,NNICRUQPODTGRU-UHFFFAOYNA-N,OWFXIOWLTKNBAP-UHFFFAOYSA-N,PCKPVGOLPKLUHR-UHFFFAOYSA-N,SNDPXSYFESPGGJ-BYPYZUCNSA-N,SNDPXSYFESPGGJ-SCSAIBSYSA-N,YBOLZUJJGUZUDC-GSVOUGTGSA-N,YBOLZUJJGUZUDC-VKHMYHEASA-N"
"27","189.074","666.97","64011.56","44951.77","47326.03","36024.32","34262.27","37344.34","32303.68","38226.18","24718.28","30458.26","59636.69","43623.51","59203.15","68875.67","40428.93","55277.7","54796.2","36742.65","54605.39","47707.11","positive","No Fragments","",""
"28","147.0765","631.07","56677.96","53033.23","41719.93","59540.58","43382.42","53035.07","57893.48","50031.81","39175.38","40691.58","23123.54","19917.24","19361.18","23650.4","13082.64","13618.46","19168.53","18034.18","18168.95","14017.16","positive","No Fragments","2-Amino-3-hydroxypropanoic acid,3-Ureidoisobutyrate,Ala-Gly,Alanyl-Glycine,Alanylglycine,D-Glutamine,D-Serine,DL-Serine,Glutamine,Isoglutamine,L-Glutamine,L-Serine,Ureidoisobutyric acid","AEFLONBTGZFSGQ-UHFFFAOYSA-N,CXISPYVYMQWFLE-UHFFFAOYSA-N,MTCFGRXMJLQNBG-REOHCLBHSA-N,MTCFGRXMJLQNBG-UHFFFAOYSA-N,MTCFGRXMJLQNBG-UWTATZPHSA-N,PHENTZNALBMCQD-UHFFFAOYSA-N,ZDXPYRJPNDTMRX-GSVOUGTGSA-N,ZDXPYRJPNDTMRX-UHFFFAOYSA-N,ZDXPYRJPNDTMRX-VKHMYHEASA-N"
"29","288.1193","657.35","23018.87","16496.36","21029.79","9045.95","8160.06","11272","10625.21","10375.64","8624.03","7017.15","24169.61","12801.42","17013.98","16794.14","11172.7","11293.5","17071.76","13394.45","18852.24","17258.82","positive","No Fragments","5,6-Dihydrouridine,Aspartyl-Hydroxyproline,Clavamycin E,L-alpha-Aspartyl-L-hydroxyproline ,N-Ribosylhistidine","HYVUCUGHACXFFU-NQIQCGANSA-N,TTYCFBAOLXCFAB-VAPHQMJDSA-N,WJDUWENBTQEKDZ-UHFFFAOYSA-N,ZPTBLXKRQACLCR-XVFCMESISA-N"
"30","235.1654","648.23","62843560","60748140","55822796","58879284","50703660","61779848","65063880","58944712","57525544","51465424","7346484.5","1524698.63","5004652.5","11957580","5293866","6983266.5","5830840","2949231.25","11221100","9445288","positive","No Fragments","",""
"31","352.2445","648.28","2811294.5","2843314.25","2475841","2904955.75","2398028.25","3131287.25","2972839.25","2820247.5","2483156.5","2392761.25","36082.75","NA","27072.06","63402.62","24617.98","48084.43","26327.48","14648.9","73949.58","63967.08","positive","No Fragments","",""
"32","469.3237","649.62","373684.44","373942.31","396991","478659.31","318052.66","606041.56","523668.75","473879.94","401608.94","439336.59","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","positive","No Fragments","",""
"33","491.3055","650.17","202582.16","187727.41","320372.69","485831.59","509244.75","515312.09","439989.72","435010.16","515054.63","455063.09","NA","NA","NA","68059.59","NA","48581.48","16444.98","NA","60543.73","44286.44","positive","No Fragments","",""
"34","237.1688","648","358208.19","356393.13","334081.34","371070.41","291580.41","325428.78","373788.78","359273.38","330945.06","285685.94","43209.42","NA","32811.13","71918.89","41617.22","35113.26","34827.27","NA","62317.51","43545.32","positive","No Fragments","",""
"35","241.1547","651.98","88049.91","79194.59","90692.74","105050.54","80856.45","96899.68","115407.97","89049.09","82403.78","77053.04","16205.05","6864.61","13492.07","22401.29","14256.16","16574.89","14740.79","9003.06","25251.81","15324.78","positive","No Fragments","Ecgonine methyl ester,N-Methylnicotinium,Neotussilagine,Pirbuterol,Tussilagine","HIOROZIUERMMRQ-UHFFFAOYSA-N,LADVYSUMGRTFSZ-QXFUBDJGSA-N,LADVYSUMGRTFSZ-UHFFFAOYNA-N,QIQNNBXHAYSQRY-ABIFROTESA-N,VQDBNKDJNJQRDG-UHFFFAOYSA-N"
